i,j
0,1
0,39
0,54
0,89
0,127
1,6
1,18
1,38
1,54
1,125
2,3
2,58
2,147
2,56
2,77
2,113
3,13
3,77
3,75
3,146
4,5
4,16
5,133
5,73
5,47
6,130
6,100
6,125
6,134
7,8
7,28
7,47
8,64
8,72
8,63
9,10
9,126
10,14
10,11
10,15
11,12
11,106
14,15
14,65
15,21
15,75
15,94
15,145
16,20
17,18
17,79
17,97
18,47
19,20
20,83
20,29
21,43
21,71
21,115
21,116
21,61
22,23
22,40
22,81
22,135
22,139
22,148
22,80
23,26
24,25
25,42
26,27
27,104
28,32
29,30
30,72
30,152
31,32
31,35
33,34
33,65
33,147
33,154
34,55
34,48
35,37
36,37
36,103
38,42
38,100
38,41
39,73
39,138
40,41
41,93
41,127
42,93
43,85
44,45
44,77
44,112
45,46
45,92
46,65
46,112
47,97
48,49
50,51
50,111
51,52
52,53
53,76
53,103
53,143
54,120
55,56
55,88
55,151
57,58
57,88
57,122
58,87
59,60
60,66
60,69
61,62
61,134
63,64
63,149
64,155
65,137
66,137
66,118
66,154
67,68
67,69
67,118
68,69
68,119
70,71
70,94
73,74
73,106
74,90
74,124
75,77
76,132
78,79
79,91
80,81
80,132
81,132
82,83
82,98
82,136
83,99
84,85
84,101
86,87
88,109
89,90
92,105
92,112
95,96
95,128
96,114
97,102
98,99
101,141
107,108
108,109
110,111
111,143
113,114
115,146
116,117
117,144
118,119
120,127
121,122
123,124
123,130
123,131
125,145
128,129
139,140
140,153
141,142
144,150
148,149
