i,j,LLBCe,LLBMEe1
0,8,0.09189536340852131,-1660.2835075960418
0,15,0.04404761904761904,-597.6351576614142
0,23,0.03962148962148962,-310.12046291707907
0,61,0.08410029703889353,-1542.453884215899
0,64,0.043761574074074085,-555.4174415554601
0,65,0.038452380952380946,-382.4056915133628
0,72,0.07217019822282979,-1512.7572849595426
0,84,0.04285714285714286,-408.39107252501884
0,103,0.047902494331065755,-444.5639625051281
0,114,0.03767195767195767,-400.6345318219563
1,14,0.021011096746390866,-246.70713209533068
1,16,0.016835016835016835,-159.15771977754468
1,18,0.06524422268907562,-734.4179636539923
1,19,0.031844584914760346,-522.2950701957081
1,24,0.043636377919466146,-443.7339967440022
1,42,0.023420256991685564,-191.31319580467897
1,49,0.03293625356125356,-325.5603970280491
1,53,0.031471887997623293,-406.81675180117026
1,70,0.02503104194280665,-330.61484741803434
1,73,0.0410506424792139,-363.07695956113054
1,107,0.04967122824265681,-890.828023062093
2,6,0.02803825803825804,-259.3144470689773
2,9,0.03205290930474754,-443.3197255327543
2,18,0.06739864261794086,-1023.2979286659358
2,46,0.02812531796906797,-297.2109572246395
2,58,0.03449330489771667,-465.6149474905873
2,59,0.030658184748258283,-396.1932162739732
2,86,0.03263694366635544,-487.0223312306152
2,89,0.057134371476476736,-983.3426279132228
2,93,0.02007104925303455,-251.30769741603922
2,102,0.19184704184704185,-3914.636670556612
2,105,0.03625193343330598,-546.6512282587571
3,8,0.04384387569130216,-586.8266802262166
3,20,0.04271881100925218,-597.6201393103845
3,26,0.04671429469223587,-620.9828525981691
3,40,0.09170346208658903,-1430.51415418651
3,44,0.0424586340946635,-487.5066490290052
3,46,0.04332197042723358,-658.8343238794157
3,48,0.031916486291486294,-349.3793516550513
3,51,0.024207716303304535,-315.26365158057325
3,56,0.056917247603522104,-804.354244401174
3,89,0.03189458689458689,-345.61135354740134
4,5,0.0188842880147228,-152.28572500784236
4,74,0.06441257155542873,-1225.6467522399573
4,77,0.02045361467236467,-200.62482711830728
4,78,0.016514041514041514,-105.44353433600502
4,84,0.027316040035338284,-375.6635605676237
4,87,0.01823805279687632,-221.06970479191367
4,90,0.024318933381433382,-238.7523807289713
4,102,0.02287838319088319,-235.5474017664239
4,103,0.028368443151051855,-420.0406127909274
4,109,0.024926421957671956,-246.00947848093003
4,110,0.022423178673178674,-176.50866826313654
5,17,0.01719148705561749,-163.2912018884051
5,23,0.02917475799054747,-412.95167018379556
5,77,0.02289973135761179,-224.4369959736697
5,84,0.021808292775112,-336.8276219204047
5,87,0.026924911547673694,-322.07355455017245
5,90,0.02620463825626869,-257.53954898689153
5,102,0.03542065372228415,-358.88672537012656
5,104,0.04420344640739377,-618.9862923275211
5,109,0.021360633881014317,-213.38925539013167
5,110,0.014245885203765638,-131.00787644968878
6,9,0.029348290598290604,-311.5872341934955
6,12,0.07951882019864477,-1032.3161958799587
6,31,0.02242476851851852,-203.0903689740904
6,45,0.04893476621417797,-491.4621069553051
6,46,0.030041915756201472,-234.23026187304453
6,58,0.028263888888888887,-293.2966817395136
6,59,0.024584732397232398,-242.88239355364337
6,86,0.025693714985994404,-296.6113302741782
6,93,0.01865079365079365,-176.3234337015518
7,12,0.06568783068783068,-672.7180444280114
7,35,0.0767063492063492,-773.2737518844514
7,51,0.07282312925170069,-1512.3785549275226
7,58,0.07064222911386779,-1475.6867189809116
7,66,0.03649188842203548,-575.5417093700294
7,68,0.10761526832955402,-2230.6456416752803
7,69,0.04467796840958606,-544.4546353160885
7,75,0.05635015117157975,-1109.60335589652
7,96,0.06154652886795746,-1277.9885481629556
7,104,0.06511715797430083,-633.2969528349981
8,13,0.043770013055727336,-856.9186524705075
8,20,0.042801520375049786,-645.2281685184606
8,26,0.028482118371824253,-417.2254855764321
8,34,0.04057444291819292,-587.1538053329106
8,48,0.03738746207496208,-442.26547763789847
8,51,0.047773376541758894,-656.3955819513297
8,61,0.05649086942946592,-1119.2214435711257
8,66,0.0783912876445344,-1982.8798157382284
8,100,0.0285248778998779,-356.529341050109
9,28,0.0253527699606131,-376.39813363040713
9,31,0.03178300967823027,-383.66887190999205
9,46,0.04345878658378658,-455.9515136777444
9,47,0.07429950010307153,-1673.5987782736033
9,58,0.03558355995855996,-430.1637828666715
9,59,0.02837831082316376,-372.2033954963759
9,70,0.07399148800934516,-1381.3642605202303
9,105,0.037366346434973885,-569.1031216693143
9,114,0.08728843907415337,-2003.44911884946
10,16,0.03462378217280178,-465.97045266248307
10,19,0.038621907096171804,-516.7099508038712
10,24,0.05223344116201259,-424.50488447600947
10,27,0.030819160997732423,-313.6117035977329
10,28,0.07301595890881604,-1313.7078115024035
10,41,0.13660421468863027,-3031.901010040533
10,53,0.03210003122283824,-528.9605421776814
10,70,0.028940854119425548,-272.17624416197907
10,99,0.03937423687423687,-338.94257103040854
10,112,0.033372911810411805,-336.58551418238926
11,39,0.01895034751868662,-225.95929509110346
11,57,0.07416950113378684,-1306.6820079376923
11,60,0.03021194083694084,-294.17880898107416
11,62,0.019399350649350645,-220.82794357223196
11,69,0.046380489995041074,-646.235461449543
11,75,0.025195406445406448,-244.0590177566148
11,76,0.03095475952618809,-225.80689984575997
11,94,0.02774374522536287,-285.5992826992877
11,95,0.02455537518037518,-249.27859961208128
11,98,0.02489967956879722,-264.2741151518469
12,19,0.16092836257309945,-2752.970014949222
12,35,0.05331196581196581,-365.0442005168587
12,65,0.03848749793162456,-593.623549676698
12,66,0.048306878306878305,-532.6567272654606
12,69,0.05261904761904762,-500.36676236453746
12,104,0.035073260073260074,-270.66589778428016
12,110,0.05766565164925197,-757.8896806081456
13,24,0.0513812621655759,-572.3210863039632
13,52,0.042743764172335594,-396.4856425873579
13,61,0.04140474630670709,-672.1705210677021
13,72,0.06246403044648659,-1141.7397795169402
13,80,0.03786019536019536,-406.98909991450284
13,83,0.015758547008547008,-98.97506482857654
13,91,0.021076388888888888,-232.52714473199532
13,92,0.021065468922611776,-193.44314217100273
13,107,0.028617875180375178,-305.64486316006975
13,111,0.027513227513227514,-264.3447661757388
14,16,0.020099406312641607,-236.40776156299438
14,27,0.02503114981185156,-392.3819916710626
14,42,0.016719576719576718,-135.76754949173687
14,49,0.02271937057651343,-197.0010877146019
14,53,0.028352920227920228,-320.3499703949455
14,54,0.0673422717253886,-1351.664504250666
14,73,0.03643698893698894,-360.14821095351675
14,80,0.028594110567794775,-477.5585515871862
14,92,0.039691901665585866,-615.2750207562694
14,99,0.020669653512790764,-249.6184172111782
15,23,0.047932692307692294,-600.2432076821001
15,29,0.08300095819858665,-2403.92611812465
15,59,0.07623360938578329,-2037.1979247592988
15,64,0.04645183248124424,-886.7354103659693
15,65,0.04419579425973288,-681.2054279202993
15,84,0.046973572037510646,-699.9364736844856
15,91,0.11158557625948931,-3018.723736824614
15,103,0.056944444444444436,-733.7123428590178
15,104,0.049458542188805334,-970.3230418948527
15,106,0.08859427609427609,-1770.2873684950632
15,114,0.04946581196581197,-803.0531452206797
16,24,0.04382114413364414,-395.57858478796396
16,42,0.02312970594220594,-214.50647118417027
16,49,0.03273989898989899,-323.59912965861076
16,53,0.03145833333333334,-360.58794561030686
16,70,0.03147926634768739,-457.2131027747102
16,73,0.03789532227032227,-381.944246870485
16,83,0.04121951878530826,-579.0000128589799
16,91,0.045838024409452977,-841.3829062955904
17,30,0.045928846285989124,-792.9064629924194
17,36,0.06353289567575283,-1312.3675817906258
17,77,0.02326032763532763,-233.72601107040146
17,78,0.016001221001221002,-121.3551567086935
17,87,0.018353439860792797,-228.670928748882
17,90,0.023482443482443483,-238.0080090948296
17,102,0.022208994708994713,-207.44978163544852
17,103,0.030853616133119245,-516.4195119875357
17,109,0.02637400793650794,-267.52606227238465
17,110,0.027813390313390314,-223.75305180435015
18,27,0.049129673884575835,-679.3905504744206
18,32,0.07806563968844671,-1085.0738102455077
18,45,0.0755218855218855,-628.9239728167221
18,47,0.0749111386979034,-1018.2472918860561
18,70,0.05238430550930551,-524.8935077126112
18,107,0.0682111733582322,-882.4403134285419
19,27,0.03896540097520489,-611.093348155145
19,42,0.031095130359836243,-363.58989154373546
19,70,0.029176587301587297,-339.7375734148088
19,73,0.031204198851257674,-449.6072125001134
19,81,0.05409024837596265,-1102.2057063509328
19,99,0.03421807359307359,-369.7383209999648
19,112,0.033144078144078146,-322.4072978123867
19,114,0.1325998075998076,-3058.7687839459086
20,34,0.04589341418385535,-688.1733683019468
20,37,0.08020502645502645,-1824.0072924397048
20,48,0.03604873136123136,-445.8592819259096
20,51,0.04119998669631022,-593.7465164290013
20,53,0.10887564816136244,-2588.180583221031
20,89,0.043710363710363714,-531.7270851607904
20,91,0.05774745937083601,-1348.3316101160697
20,100,0.03773223304473305,-548.4819630826356
20,113,0.10154521404521404,-2577.5351300399266
21,25,0.03182234432234432,-247.83345012087352
21,29,0.033333333333333326,-330.51259193166334
21,32,0.03237833594976452,-249.7308364761849
21,50,0.04322344322344322,-328.6626272693031
21,60,0.17092105263157895,-2454.1707231769187
21,67,0.038461538461538464,-313.15996925415607
21,68,0.03586691086691087,-297.4667273685537
21,86,0.06750481000481001,-1174.8642808422735
21,106,0.038461538461538464,-225.71969259822563
21,108,0.026022588522588527,-150.50150949482816
22,23,0.05773820755963612,-1031.5909592383096
22,39,0.035889700577200576,-429.5460591917437
22,40,0.04150147306397305,-458.18896303414294
22,41,0.03801495345612992,-628.3632113768325
22,60,0.04356782106782106,-431.5222722630033
22,62,0.0218671306906601,-324.085439407293
22,76,0.03759947160682454,-469.90086627779056
22,87,0.053207683840094895,-1298.5153099901368
22,94,0.0315004135938392,-474.35045250874975
22,95,0.023895467277820222,-357.74516641921315
22,109,0.06812614393783226,-1411.6695832654543
23,63,0.04855328881644671,-812.1674783111233
23,64,0.029391534391534392,-307.1277966157638
23,65,0.03297258297258297,-301.051095709293
23,84,0.024267399267399264,-188.21215489908758
23,103,0.020573870573870574,-180.15346192341764
23,114,0.03174603174603174,-272.04153583064675
24,27,0.043970337260778425,-488.51394290298856
24,48,0.08060931103210514,-810.7316877624286
24,56,0.08433340964590964,-796.464088496715
25,26,0.06373581324880027,-1364.4664692116987
25,29,0.03108440170940171,-367.41244693608377
25,32,0.02726757369614512,-255.36821029026567
25,50,0.030952380952380953,-288.0890494372247
25,67,0.035952380952380944,-352.9356509196898
25,68,0.028210678210678214,-283.9132678155469
25,71,0.09804601363042921,-2057.633640515248
25,105,0.048753865182436615,-920.8830452958373
25,106,0.026704705550859395,-195.39137453522645
25,108,0.022435897435897436,-138.35804933021194
26,34,0.055332116821087414,-788.2343915059189
26,48,0.04000981657231657,-469.9804462450523
26,51,0.04214195730739848,-579.5047284164211
26,89,0.04840061558811559,-558.7507367980712
26,91,0.03936703647229963,-737.7114703728487
26,100,0.03839992727860374,-532.9466673596623
26,107,0.052391424365108574,-953.3474193242009
26,111,0.05239560147454884,-971.4454624020653
27,53,0.02817564745196324,-541.2405498255857
27,70,0.03318783068783069,-370.86408942723716
27,86,0.08669483174353303,-1839.660347827487
27,92,0.059246712282426575,-1099.1508986240067
27,99,0.03068027210884354,-282.2556538669767
27,112,0.038807189542483654,-462.2252518342859
28,29,0.05358701465420833,-1279.396107766187
28,31,0.027224702380952374,-273.2589286597702
28,43,0.02557462378890951,-231.07362043762177
28,46,0.02752971089368148,-308.9488865979618
28,56,0.0484646607453625,-761.5280253234537
28,59,0.022112487186016595,-274.26414018486463
28,86,0.023346450322553263,-299.14159572304413
28,93,0.028147016382310503,-327.61449328287176
28,105,0.025046950598421186,-324.89482329846936
29,32,0.029469818376068373,-346.40808666551686
29,48,0.06825635884077444,-1473.651767128488
29,50,0.02273989898989899,-270.0117310982236
29,52,0.06286085247124208,-1379.520758922784
29,67,0.035381944444444445,-435.7502652688852
29,68,0.039438131313131314,-490.20519783049576
29,106,0.024725274725274724,-203.21806809694587
29,108,0.025525030525030523,-233.0749433212074
30,33,0.02639661925376211,-254.22837153172804
30,63,0.027362914862914867,-328.26813140187716
30,74,0.063039948267221,-1340.7339071564727
30,82,0.027539682539682534,-261.8541243712846
30,85,0.02191043083900227,-215.13768820475525
30,88,0.048715277777777774,-588.9052263431558
30,96,0.04369614512471656,-431.9503687276738
30,97,0.03794784580498866,-347.9333675757386
30,101,0.04584325396825397,-561.583716072023
30,102,0.04461356764928193,-847.8585601738016
31,32,0.05552390400604687,-895.0939111254722
31,43,0.02922464440321583,-238.35310624097025
31,58,0.026326793100690162,-312.80750614570826
31,66,0.06837728791676159,-1225.4408128023904
31,86,0.01933862433862434,-179.01607163214325
31,93,0.026730324074074073,-251.6383683964018
31,105,0.025056689342403626,-233.02356926910244
32,50,0.032539682539682535,-299.5951468401892
32,61,0.06349214938500652,-1388.3050612683996
32,67,0.0380952380952381,-370.01981371310427
32,68,0.037188208616780044,-366.99464866280294
32,106,0.02624683009298394,-190.39991592947155
32,108,0.01816239316239316,-112.13004575109161
33,47,0.08322988415093678,-1573.0763182538778
33,63,0.020714285714285713,-215.43134572317658
33,64,0.0573540997242296,-1310.597779603258
33,82,0.02258736828064559,-210.54639009412315
33,85,0.03066314637743209,-288.47014718449225
33,88,0.030183531746031746,-362.4988602466096
33,96,0.02790249433106576,-273.54552927155555
33,97,0.026867413632119516,-242.9798916384761
33,101,0.028095238095238097,-300.9130669478867
