i,j,LLBCe,LLBMEe1
0,1,0.02179487179487179,-912.8659408158198
0,2,0.04132470538720538,-3049.007363416171
0,3,0.01769230769230769,-652.5011328564651
0,4,0.03282051282051283,-1050.82242027165
0,5,0.04897435897435898,-1623.4084457290235
0,6,0.04897435897435897,-1623.4084457290235
0,7,0.019285714285714285,-663.015338181768
0,8,0.03711979741391507,-2338.888008458223
0,10,0.03282051282051283,-1050.82242027165
0,11,0.038461538461538464,-1190.1760260819806
0,12,0.030589743589743583,-983.5994344168096
0,13,0.021185949127125604,-1349.6040560750494
0,17,0.02744322344322344,-890.359206715432
0,19,0.022968480321421503,-1369.52534644088
0,21,0.02744322344322344,-890.359206715432
0,31,0.06362999745352686,-4371.725814011528
1,2,0.014014336917562726,-526.2008241397317
1,3,0.008563899868247694,-116.04144299676426
1,7,0.007834556747600226,-92.28924596121422
1,13,0.00748335893497184,-190.1364884854035
1,17,0.014153961980048937,-141.9920878684544
1,19,0.008827444956477215,-193.07397099915372
1,21,0.014153961980048937,-141.9920878684544
1,30,0.018934971838197645,-398.3916798080106
2,3,0.013530465949820786,-406.7975531345432
2,7,0.014708141321044546,-389.6302859477805
2,8,0.005189132104454684,-185.87269112322235
2,9,0.016412250384024576,-433.3222633525875
2,13,0.00431547619047619,-154.0019593610958
2,27,0.02083107864357864,-665.6952748048684
2,28,0.01162968975468975,-353.3064038835179
2,32,0.035416666666666666,-1811.1631258151942
3,7,0.0035996612083568605,-30.45450958154616
3,12,0.010111989459815549,-62.195052334843986
3,13,0.00900153609831029,-157.6795977223547
4,6,0.008714596949891067,-25.820005772102366
4,10,0.005446623093681917,-13.470333492344293
5,6,0.0054466230936819175,-21.938031251088574
5,10,0.008714596949891067,-25.82000577210237
5,16,0.027777777777777776,-60.28399749228679
6,16,0.027777777777777776,-60.28399749228678
8,30,0.005376344086021506,-95.09357218827748
8,32,0.014939574314574312,-573.4433991825931
8,33,0.020091540404040403,-1147.9036969551823
9,33,0.02769047619047619,-787.5611536036038
13,33,0.03464105339105339,-1920.9005775468477
14,32,0.016103174603174602,-284.7350729149312
14,33,0.025974810213940647,-674.2946216866894
15,32,0.016103174603174602,-284.7350729149312
15,33,0.025974810213940647,-674.2946216866894
18,32,0.016103174603174602,-284.7350729149312
18,33,0.025974810213940647,-674.2946216866894
19,33,0.03015647546897546,-1570.4975552412939
20,32,0.016103174603174602,-284.7350729149312
20,33,0.025974810213940647,-674.2946216866894
22,32,0.016103174603174602,-284.7350729149312
22,33,0.025974810213940647,-674.2946216866894
23,25,0.022101972101972102,-120.26970361096234
23,27,0.008018518518518519,-80.99350469688343
23,29,0.008888888888888889,-53.718303083216476
23,32,0.015888888888888886,-330.7407738442253
23,33,0.02592592592592592,-747.4461523933929
24,25,0.021515151515151515,-25.684248308758207
24,27,0.017444444444444443,-119.63752650690425
24,31,0.02035984848484848,-410.367978706799
25,31,0.021291035353535354,-427.57549256788724
26,29,0.006516290726817042,-22.312362723164537
26,33,0.03718081435472739,-929.8938219625505
27,33,0.02849603174603175,-882.1351502447042
28,31,0.007417929292929294,-172.4759492341684
28,33,0.022968253968253968,-680.311408265352
29,32,0.015396825396825395,-291.2250992507357
29,33,0.020962732919254656,-571.8800823055094
30,32,0.013627730294396961,-325.3205900311516
30,33,0.021428571428571432,-773.9275524921674
31,32,0.02077922077922078,-918.1662628215643
31,33,0.02697510822510823,-1699.7245733219931
32,33,0.007690476190476189,-338.8719533787015
