i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
32,34,9,0.2,4,19.0,336,38.0,1408,0.2,-25.895562785409098
32,115,3,0.0,2,7.0,0,16.0,0,0.25,-9.534161491043836
33,74,6,0.0,4,13.0,144,27.0,680,0.3,-29.818879797456006
34,114,6,0.0,4,17.0,240,34.0,1056,0.3,-27.386089148807017
35,36,8,0.0,2,44.0,975,84.5,3600,0.26666666666666666,-61.42290800542568
35,37,2,0.0,1,6.5,0,12.5,0,0.3333333333333333,-4.1588830833596715
36,38,12,0.16666666666666666,4,65.5,4200,129.0,16416,0.2,-72.35934081211256
36,39,12,0.0,4,56.5,2850,106.0,9792,0.2857142857142857,-113.63547563887519
36,40,24,0.1111111111111111,4,105.0,10125,229.5,45360,0.20833333333333334,-299.16982321864634
38,40,18,0.125,4,95.5,7560,214.5,35910,0.17857142857142858,-182.70678447671418
38,43,12,0.0,4,71.5,4872,141.0,19152,0.2857142857142857,-134.7985387460115
39,41,3,0.0,2,19.0,0,34.0,0,0.25,-12.829998357048165
39,42,6,0.0,4,28.0,684,50.5,2244,0.3,-33.977762880815675
40,44,36,0.0,4,120.0,14175,272.5,72450,0.26136363636363635,-878.2342584821884
40,45,12,0.0,4,77.5,2700,177.5,12600,0.19642857142857142,-164.97045881271063
40,46,12,0.0,4,84.5,4590,189.0,19845,0.21428571428571427,-187.24140289307357
43,78,16,0.0,4,87.0,7569,163.5,26712,0.26785714285714285,-199.78325480397143
43,93,12,0.0,4,61.5,3132,119.0,11760,0.2857142857142857,-120.85849365038854
43,116,8,0.0,4,53.5,1740,103.0,6384,0.23333333333333334,-67.36641554813467
44,54,12,0.0,2,59.5,1470,130.5,7130,0.21428571428571427,-181.7132928121073
44,55,12,0.0,4,58.5,1260,129.5,6670,0.19642857142857142,-164.36314076101473
44,56,12,0.0,4,63.0,2205,135.5,9430,0.20535714285714285,-173.09573016223703
