node,degree,NodeBetweenness,CFNode,is_articulation_point,in_min_node_cut,name,voltage,frequency
1118,1,0.0,0.012820512820512896,False,False,,,
1175,1,0.0,0.01282051282051289,False,False,,,
2081,1,0.0,0.012820512820512879,False,False,,,
2069,1,0.0,0.012820512820512867,False,False,,66000,
400,1,0.0,0.012820512820512865,False,False,西越谷変電所 (Nishi Koshigaya Hendensho),275000,
8638,1,0.0,0.012820512820512865,False,False,,500000;66000,50;50
2036,1,0.0,0.012820512820512863,False,False,東京電力逗子変電所,,
332,1,0.0,0.012820512820512858,False,False,新座変電所,,
219,1,0.0,0.012820512820512851,False,False,,,
435,1,0.0,0.012820512820512844,False,False,豊岡変電所,154000,
6607,1,0.0,0.012820512820512844,False,False,東千葉房総線 (Higashi Chiba Bōsō Sen);東千葉房総線 (Higashi Chiba Bōsō Sen);生実線 (Oyumi Sen),154000;154000;154000,
914,1,0.0,0.012820512820512837,False,False,葛南変電所 (Katsunan hendensho),275000,50
