metric,auc_static,auc_iterative
CI_e_av_body,0.7787786367827505,0.825732321441237
CI_e_av_skin,0.8287679977303355,0.8012341300801475
CI_e_mul_body,0.7838570111355415,0.8227392013617988
CI_e_mul_skin,0.8347116816795517,0.801475281934889
Jaccard,0.3699695013830768,0.3343357684942195
LDC,0.8137598411234839,0.8284842896659338
LKS,0.8088942478189943,0.9077806936662175
LLBCe,0.46189091424923756,0.26879920561741966
LLBMEe1,0.4393077523228598,0.2887296971416412
