i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
70,211,48,0.14285714285714285,15,7793.5,34180080,13292.5,114209436,0.0467556253270539,-371.66938640451394
70,263,36,0.15384615384615385,15,7477.5,25997576,11751.5,48880282,0.057692307692307696,-339.96800838999405
70,105,36,0.0,15,7300.5,21414338,11605.5,42690758,0.10230158730158732,-899.933921746738
70,120,96,0.1111111111111111,25,9917.5,89178936,16968.5,270049780,0.07660054179662022,-1256.9993144188716
70,122,84,0.11764705882352941,25,9536.5,79313322,15962.5,227401416,0.0914043676911324,-1287.6725529363625
71,117,77,0.0,30,6883.0,46889880,14489.0,188484960,0.049971587961784046,-779.1436461149846
71,144,99,0.1111111111111111,42,6462.0,40507520,16916.0,281293440,0.04173693046242066,-690.7412368292817
71,74,143,0.043478260869565216,42,9112.0,80681520,20444.0,416204160,0.03297644055549194,-1166.2912529887774
71,102,66,0.0,24,6790.0,45480000,13950.0,167873600,0.10503334474406453,-1337.1989221203664
71,264,110,0.16666666666666666,36,7160.5,51096780,17979.5,321961680,0.060299223289419376,-1107.8306674733994
71,121,231,0.23076923076923078,48,10480.0,101420400,28300.0,716617600,0.025206404706404704,-1441.1436260136873
71,163,319,0.1111111111111111,48,10734.0,105271040,36958.0,1047699520,0.027250695819433846,-4292.423838634742
71,166,165,0.08333333333333333,36,7836.0,61337360,23357.0,527597280,0.06961925779061329,-3182.2120026528305
71,265,154,0.08695652173913043,48,8034.5,64346620,21494.0,456356160,0.03610200679864712,-1175.463929554188
71,98,649,0.09375,48,13041.0,140245160,66487.0,2176888480,0.020410973591230057,-22759.502562930702
72,81,78,0.0,20,7128.5,49461780,15666.5,179155200,0.14032651072124752,-2718.608182517527
72,135,52,0.21428571428571427,20,5500.5,22463028,14724.0,134277120,0.046703296703296704,-444.61258501918076
