metric,auc_static,auc_iterative
CI_e_av_body,0.28009705678452135,0.1634335413121573
CI_e_av_skin,0.2902691119934455,0.17518749606100711
CI_e_mul_body,0.2725530976239995,0.16304909560723516
CI_e_mul_skin,0.29551269931303964,0.16900485283922603
Jaccard,0.40828133862733973,0.4081237789122077
LDC,0.23898027352366547,0.19569546858259282
LKS,0.3067876725278881,0.219373542572635
LLBCe,0.3981218881956261,0.36821075187496055
LLBMEe1,0.22505199470599357,0.15955126993130397
