i,j,LDC,Jaccard,LKS,CI_e_av_skin,CI_e_mul_skin,CI_e_av_body,CI_e_mul_body,LLBCe,LLBMEe1
34,35,8,0.0,4,25.5,270,48.5,1296,0.26666666666666666,-56.39403873004669
34,36,4,0.0,4,6.0,36,14.0,192,0.3333333333333333,-13.862943611198904
35,37,8,0.0,4,29.5,630,54.5,2268,0.26666666666666666,-56.39403873004669
35,38,12,0.16666666666666666,4,38.5,1440,71.5,5022,0.2,-54.77217829761403
35,39,12,0.16666666666666666,4,39.5,1530,73.5,5346,0.2,-58.9310613809737
36,163,4,0.0,4,7.5,54,12.5,156,0.3333333333333333,-11.090354888959125
37,148,4,0.0,4,16.5,266,32.5,1036,0.3333333333333333,-18.257392765871344
38,94,6,0.0,4,29.0,832,54.0,2852,0.3,-32.883833540051945
38,39,9,0.2,4,33.0,1088,64.0,4092,0.2,-31.44074022988866
39,133,12,0.0,4,45.5,1938,96.0,8316,0.2857142857142857,-121.31430763136879
40,41,4,0.0,4,3.0,9,7.0,49,0.3333333333333333,-11.090354888959125
40,42,4,0.0,4,4.0,15,8.5,70,0.3333333333333333,-11.090354888959125
41,364,4,0.0,4,3.0,9,7.5,56,0.3333333333333333,-11.090354888959125
42,43,4,0.0,4,6.5,40,13.0,160,0.3333333333333333,-12.712215321391781
44,45,3,0.0,1,2.0,0,4.0,0,0.25,-8.671115273688493
45,46,6,0.0,1,3.0,8,7.5,56,0.3,-21.50111363073666
45,47,3,0.0,1,2.0,0,4.0,0,0.25,-8.671115273688493
46,220,4,0.0,1,1.5,2,7.5,56,0.3333333333333333,-14.33407575382444
48,49,4,0.0,1,1.5,2,4.5,20,0.3333333333333333,-8.317766166719343
48,50,4,0.0,1,1.0,1,5.5,30,0.3333333333333333,-12.712215321391781
49,51,2,0.0,1,1.0,0,2.0,0,0.3333333333333333,-2.772588722239781
50,294,6,0.0,1,2.5,4,9.0,72,0.3,-25.65999671409633
52,53,4,0.0,4,28.0,784,48.5,2352,0.2916666666666667,-16.16157447095327
52,54,14,0.0,4,101.0,4872,207.5,17934,0.1875,-251.17817937448396
54,97,14,0.0,4,101.0,4872,207.5,17934,0.1875,-251.17817937448396
