Fraction_Removed,RGC
0.0,1.0
0.0010559662090813093,1.0
0.0021119324181626186,1.0
0.003167898627243928,1.0
0.004223864836325237,1.0
0.005279831045406547,1.0
0.006335797254487856,1.0
0.007391763463569165,1.0
0.008447729672650475,1.0
0.009503695881731784,1.0
0.010559662090813094,1.0
0.011615628299894402,1.0
0.012671594508975712,1.0
0.013727560718057022,1.0
0.01478352692713833,1.0
0.01583949313621964,1.0
0.01689545934530095,1.0
0.01795142555438226,1.0
0.01900739176346357,1.0
0.02006335797254488,1.0
0.021119324181626188,1.0
0.022175290390707494,1.0
0.023231256599788804,1.0
0.024287222808870114,1.0
0.025343189017951424,1.0
0.026399155227032733,1.0
0.027455121436114043,1.0
0.028511087645195353,1.0
0.02956705385427666,1.0
0.03062302006335797,1.0
0.03167898627243928,1.0
0.03273495248152059,1.0
0.0337909186906019,1.0
0.034846884899683205,1.0
0.03590285110876452,1.0
0.036958817317845824,1.0
0.03801478352692714,1.0
0.039070749736008444,1.0
0.04012671594508976,1.0
0.04118268215417106,1.0
0.042238648363252376,1.0
0.04329461457233368,1.0
0.04435058078141499,1.0
0.0454065469904963,1.0
0.04646251319957761,1.0
0.04751847940865892,1.0
0.04857444561774023,1.0
0.04963041182682154,1.0
0.05068637803590285,1.0
0.051742344244984154,1.0
0.05279831045406547,1.0
0.05385427666314677,1.0
0.054910242872228086,1.0
0.05596620908130939,1.0
0.057022175290390706,1.0
0.05807814149947201,1.0
0.05913410770855332,1.0
0.06019007391763463,1.0
0.06124604012671594,1.0
0.06230200633579725,1.0
0.06335797254487856,1.0
0.06441393875395987,1.0
0.06546990496304118,1.0
0.06652587117212248,1.0
0.0675818373812038,1.0
0.06863780359028511,1.0
0.06969376979936641,1.0
0.07074973600844772,1.0
0.07180570221752904,1.0
0.07286166842661035,1.0
0.07391763463569165,1.0
0.07497360084477296,1.0
0.07602956705385427,1.0
0.07708553326293557,1.0
0.07814149947201689,1.0
0.0791974656810982,1.0
0.08025343189017951,1.0
0.08130939809926081,1.0
0.08236536430834213,1.0
0.08342133051742344,1.0
0.08447729672650475,1.0
0.08553326293558605,1.0
0.08658922914466737,1.0
0.08764519535374868,1.0
0.08870116156282998,1.0
0.08975712777191129,1.0
0.0908130939809926,1.0
0.09186906019007392,1.0
0.09292502639915522,1.0
0.09398099260823653,1.0
0.09503695881731784,1.0
0.09609292502639914,1.0
0.09714889123548046,1.0
0.09820485744456177,1.0
0.09926082365364308,1.0
0.10031678986272438,1.0
0.1013727560718057,1.0
0.10242872228088701,1.0
0.10348468848996831,1.0
0.10454065469904962,1.0
0.10559662090813093,1.0
0.10665258711721225,1.0
0.10770855332629355,1.0
0.10876451953537486,1.0
0.10982048574445617,1.0
0.11087645195353747,1.0
0.11193241816261879,1.0
0.1129883843717001,1.0
0.11404435058078141,1.0
0.11510031678986271,1.0
0.11615628299894402,1.0
0.11721224920802534,1.0
0.11826821541710664,1.0
0.11932418162618795,1.0
0.12038014783526926,1.0
0.12143611404435058,1.0
0.12249208025343188,1.0
0.12354804646251319,1.0
0.1246040126715945,1.0
0.12565997888067582,1.0
0.12671594508975711,1.0
0.12777191129883841,1.0
0.12882787750791974,1.0
0.12988384371700104,1.0
0.13093980992608237,1.0
0.13199577613516367,1.0
0.13305174234424497,1.0
0.1341077085533263,1.0
0.1351636747624076,1.0
0.1362196409714889,1.0
0.13727560718057022,1.0
0.13833157338965152,1.0
0.13938753959873282,1.0
0.14044350580781415,1.0
0.14149947201689544,1.0
0.14255543822597677,1.0
0.14361140443505807,1.0
0.14466737064413937,1.0
0.1457233368532207,1.0
0.146779303062302,1.0
0.1478352692713833,1.0
0.14889123548046462,1.0
0.14994720168954592,1.0
0.15100316789862722,1.0
0.15205913410770855,1.0
0.15311510031678985,1.0
0.15417106652587115,1.0
0.15522703273495247,1.0
0.15628299894403377,1.0
0.1573389651531151,1.0
0.1583949313621964,1.0
0.1594508975712777,1.0
0.16050686378035903,1.0
0.16156282998944033,1.0
0.16261879619852163,1.0
0.16367476240760295,1.0
0.16473072861668425,1.0
0.16578669482576555,1.0
0.16684266103484688,1.0
0.16789862724392818,1.0
0.1689545934530095,1.0
0.1700105596620908,1.0
0.1710665258711721,1.0
0.17212249208025343,1.0
0.17317845828933473,1.0
0.17423442449841603,1.0
0.17529039070749736,1.0
0.17634635691657866,1.0
0.17740232312565996,1.0
0.17845828933474128,1.0
0.17951425554382258,1.0
0.18057022175290388,1.0
0.1816261879619852,1.0
0.1826821541710665,1.0
0.18373812038014783,1.0
0.18479408658922913,1.0
0.18585005279831043,1.0
0.18690601900739176,1.0
0.18796198521647306,1.0
0.18901795142555436,1.0
0.1900739176346357,1.0
0.19112988384371699,1.0
0.19218585005279828,1.0
0.1932418162618796,1.0
0.1942977824709609,1.0
0.1953537486800422,1.0
0.19640971488912354,1.0
0.19746568109820484,1.0
0.19852164730728616,1.0
0.19957761351636746,1.0
0.20063357972544876,1.0
0.2016895459345301,1.0
0.2027455121436114,1.0
0.2038014783526927,1.0
0.20485744456177402,1.0
0.20591341077085532,1.0
0.20696937697993661,1.0
0.20802534318901794,1.0
0.20908130939809924,1.0
0.21013727560718057,1.0
0.21119324181626187,1.0
0.21224920802534317,1.0
0.2133051742344245,1.0
0.2143611404435058,1.0
0.2154171066525871,1.0
0.21647307286166842,1.0
0.21752903907074972,1.0
0.21858500527983102,1.0
0.21964097148891235,1.0
0.22069693769799364,1.0
0.22175290390707494,1.0
0.22280887011615627,1.0
0.22386483632523757,1.0
0.2249208025343189,1.0
0.2259767687434002,1.0
0.2270327349524815,1.0
0.22808870116156282,1.0
0.22914466737064412,1.0
0.23020063357972542,1.0
0.23125659978880675,1.0
0.23231256599788805,1.0
0.23336853220696935,1.0
0.23442449841605068,1.0
0.23548046462513197,1.0
0.23653643083421327,1.0
0.2375923970432946,1.0
0.2386483632523759,1.0
0.23970432946145723,1.0
0.24076029567053853,1.0
0.24181626187961983,1.0
0.24287222808870115,1.0
0.24392819429778245,1.0
0.24498416050686375,1.0
0.24604012671594508,1.0
0.24709609292502638,1.0
0.24815205913410768,1.0
0.249208025343189,1.0
0.2502639915522703,1.0
0.25131995776135163,1.0
0.2523759239704329,1.0
0.25343189017951423,1.0
0.25448785638859556,1.0
0.25554382259767683,1.0
0.25659978880675816,1.0
0.2576557550158395,1.0
0.2587117212249208,1.0
0.2597676874340021,1.0
0.2608236536430834,1.0
0.26187961985216474,1.0
0.262935586061246,1.0
0.26399155227032733,1.0
0.26504751847940866,1.0
0.26610348468848993,1.0
0.26715945089757126,1.0
0.2682154171066526,1.0
0.26927138331573386,1.0
0.2703273495248152,1.0
0.2713833157338965,1.0
0.2724392819429778,1.0
0.2734952481520591,1.0
0.27455121436114044,1.0
0.2756071805702217,1.0
0.27666314677930304,1.0
0.27771911298838436,1.0
0.27877507919746564,1.0
0.27983104540654696,1.0
0.2808870116156283,1.0
0.28194297782470956,1.0
0.2829989440337909,1.0
0.2840549102428722,1.0
0.28511087645195354,1.0
0.2861668426610348,1.0
0.28722280887011614,1.0
0.28827877507919747,1.0
0.28933474128827874,1.0
0.29039070749736007,1.0
0.2914466737064414,1.0
0.29250263991552267,1.0
0.293558606124604,1.0
0.2946145723336853,1.0
0.2956705385427666,1.0
0.2967265047518479,1.0
0.29778247096092925,1.0
0.2988384371700105,1.0
0.29989440337909185,1.0
0.30095036958817317,1.0
0.30200633579725444,1.0
0.30306230200633577,1.0
0.3041182682154171,1.0
0.30517423442449837,1.0
0.3062302006335797,1.0
0.307286166842661,1.0
0.3083421330517423,1.0
0.3093980992608236,1.0
0.31045406546990495,1.0
0.3115100316789863,1.0
0.31256599788806755,1.0
0.3136219640971489,1.0
0.3146779303062302,1.0
0.3157338965153115,1.0
0.3167898627243928,1.0
0.31784582893347413,1.0
0.3189017951425554,1.0
0.3199577613516367,1.0
0.32101372756071805,1.0
0.3220696937697993,1.0
0.32312565997888065,1.0
0.324181626187962,1.0
0.32523759239704325,1.0
0.3262935586061246,1.0
0.3273495248152059,1.0
0.3284054910242872,1.0
0.3294614572333685,1.0
0.33051742344244983,1.0
0.3315733896515311,1.0
0.33262935586061243,1.0
0.33368532206969376,1.0
0.33474128827877503,1.0
0.33579725448785636,1.0
0.3368532206969377,1.0
0.337909186906019,1.0
0.3389651531151003,1.0
0.3400211193241816,1.0
0.34107708553326294,1.0
0.3421330517423442,1.0
0.34318901795142553,1.0
0.34424498416050686,1.0
0.34530095036958813,1.0
0.34635691657866946,1.0
0.3474128827877508,1.0
0.34846884899683206,1.0
0.3495248152059134,1.0
0.3505807814149947,1.0
0.351636747624076,1.0
0.3526927138331573,1.0
0.35374868004223864,1.0
0.3548046462513199,1.0
0.35586061246040124,1.0
0.35691657866948256,1.0
0.35797254487856384,1.0
0.35902851108764516,1.0
0.3600844772967265,1.0
