Network,Metric,Static_AUC,Iterative_AUC,Diff_I_minus_S,Pct_Change,Better
Karate,LDC,0.5827677224736048,0.6057692307692307,0.023001508295625972,0.039469427369783296,Static
Karate,Jaccard,0.5590120663650076,0.38706636500754144,-0.17194570135746612,-0.3075885328836426,Iterative
Karate,LKS,0.5940799396681749,0.794683257918552,0.20060331825037714,0.3376705807680103,Static
Karate,CI_e_av_skin,0.6796757164404224,0.5797511312217194,-0.09992458521870295,-0.14701803051317627,Iterative
Karate,CI_e_mul_skin,0.658182503770739,0.6185897435897436,-0.039592760180995334,-0.06015468347178438,Iterative
Karate,CI_e_av_body,0.605392156862745,0.543552036199095,-0.06184012066364997,-0.10214886328246636,Iterative
Karate,CI_e_mul_body,0.576734539969834,0.5529788838612368,-0.0237556561085972,-0.04118993135011428,Iterative
Karate,LLBCe,0.6453619909502262,0.5292232277526394,-0.11613876319758676,-0.17995910020449904,Iterative
Karate,LLBMEe1,0.5695701357466062,0.44588989441930615,-0.12368024132730004,-0.21714664018536894,Iterative
Football,LDC,0.8137598411234839,0.8284842896659338,0.01472444854244992,0.01809434159606748,Static
Football,Jaccard,0.3699695013830768,0.3343357684942195,-0.03563373288885735,-0.09631532533261757,Iterative
Football,LKS,0.8088942478189943,0.9077806936662175,0.09888644584722317,0.1222489171036248,Static
Football,CI_e_av_skin,0.8287679977303355,0.8012341300801475,-0.02753386765018795,-0.033222648226756114,Iterative
Football,CI_e_mul_skin,0.8347116816795517,0.801475281934889,-0.03323639974466264,-0.03981782030148009,Iterative
Football,CI_e_av_body,0.7787786367827505,0.825732321441237,0.04695368465848648,0.06029143897996366,Static
Football,CI_e_mul_body,0.7838570111355415,0.8227392013617987,0.03888219022625716,0.049603677295595186,Static
Football,LLBCe,0.46189091424923756,0.26879920561741966,-0.1930917086318179,-0.41804612880439795,Iterative
Football,LLBMEe1,0.4393077523228598,0.2887296971416412,-0.15057805518121858,-0.34276211695566544,Iterative
Jazz,LDC,0.9139249902379005,0.9356042187004988,0.021679228462598288,0.02372101506596843,Static
Jazz,Jaccard,0.6352299434903373,0.40481492532914853,-0.2304150181611888,-0.3627269471825421,Iterative
Jazz,LKS,0.868035755070766,0.9376818881742295,0.06964613310346346,0.08023417548944814,Static
Jazz,CI_e_av_skin,0.6905478932284184,0.6811541748631464,-0.00939371836527192,-0.013603282925612633,Iterative
Jazz,CI_e_mul_skin,0.7659536650236869,0.8115150410008178,0.04556137597713095,0.059483201213903686,Static
Jazz,CI_e_av_body,0.8790043026913924,0.9332484214869335,0.05424411879554114,0.061710868342115026,Static
Jazz,CI_e_mul_body,0.9148698877911132,0.9306163384390955,0.015746450647982302,0.017211683167320066,Static
Jazz,LLBCe,0.5850214397807396,0.4189681276661583,-0.1660533121145813,-0.2838414130203783,Iterative
Jazz,LLBMEe1,0.7700574306154175,0.43387466937795166,-0.3361827612374659,-0.4365684270701654,Iterative
Tokyo City,LDC,0.2268387314439946,0.2248819163292847,-0.001956815114709909,-0.008626459433331107,Iterative
Tokyo City,Jaccard,0.4490047233468286,0.44876855600539806,-0.00023616734143055984,-0.0005259796370741852,Iterative
Tokyo City,LKS,0.37397098515519567,0.41968623481781375,0.045715249662618085,0.12224277143759305,Static
Tokyo City,CI_e_av_skin,0.2760290148448043,0.19606950067476375,-0.07995951417004055,-0.2896779319195749,Iterative
Tokyo City,CI_e_mul_skin,0.2555836707152497,0.197823886639676,-0.05775978407557367,-0.22599168371724684,Iterative
Tokyo City,CI_e_av_body,0.26850539811066126,0.18453103913630226,-0.08397435897435901,-0.3127473770182825,Iterative
Tokyo City,CI_e_mul_body,0.2512651821862348,0.18969298245614033,-0.06157219973009445,-0.24504867405169517,Iterative
Tokyo City,LLBCe,0.31152159244264505,0.30521255060728747,-0.006309041835357576,-0.02025234201548693,Iterative
Tokyo City,LLBMEe1,0.19326923076923075,0.18203441295546557,-0.011234817813765174,-0.05813040062843673,Iterative
Dolphins,LDC,0.6750355041590586,0.6570805437208358,-0.017954960438222756,-0.026598542339770073,Iterative
Dolphins,Jaccard,0.4462872793670116,0.37791641306553053,-0.06837086630148109,-0.1531992271849075,Iterative
Dolphins,LKS,0.6693548387096775,0.810154189490769,0.14079935078109151,0.2103508373115102,Static
Dolphins,CI_e_av_skin,0.6071718401298437,0.5699431933455061,-0.03722864678433757,-0.06131484420683315,Iterative
Dolphins,CI_e_mul_skin,0.6084905660377359,0.5959119496855346,-0.012578616352201255,-0.02067183462532299,Iterative
Dolphins,CI_e_av_body,0.6349665246500305,0.6361838101034692,0.001217285453438799,0.0019170860292355106,Static
Dolphins,CI_e_mul_body,0.6279671332927571,0.6301988232907283,0.002231689997971187,0.003553832485259666,Static
Dolphins,LLBCe,0.45480827754108333,0.3236457699330493,-0.13116250760803405,-0.28839076614252257,Iterative
Dolphins,LLBMEe1,0.6097078514911747,0.42975248529113413,-0.17995536620004055,-0.2951501538973463,Iterative
Les Miserables,LDC,0.6086511913283568,0.6456181613661929,0.03696697003783611,0.06073588709677407,Static
Les Miserables,Jaccard,0.33352080989876265,0.30279169649248383,-0.03072911340627882,-0.09213552046604341,Iterative
Les Miserables,LKS,0.6765006646896412,0.8523366397382146,0.1758359750485734,0.2599198851182827,Static
Les Miserables,CI_e_av_skin,0.6915328765722466,0.6885162082012475,-0.0030166683709991204,-0.004362292051756067,Iterative
Les Miserables,CI_e_mul_skin,0.7682789651293588,0.6823294815420798,-0.08594948358727894,-0.11187275389325181,Iterative
Les Miserables,CI_e_av_body,0.519889559259638,0.5679006033336742,0.048011044074036224,0.09234854445318652,Static
Les Miserables,CI_e_mul_body,0.6292054402290623,0.6349831271091113,0.005777686880048982,0.009182512595481715,Static
Les Miserables,LLBCe,0.40305757234891093,0.33781572757950706,-0.06524184476940387,-0.16186730939997473,Iterative
Les Miserables,LLBMEe1,0.38045812455261274,0.2906227630637078,-0.08983536148890492,-0.23612417685794954,Iterative
Baseball Steroids,LDC,0.935891118150886,0.9600375454652118,0.024146427314325813,0.025800466364114896,Static
Baseball Steroids,Jaccard,0.935891118150886,0.6700692244514841,-0.2658218936994019,-0.28403079006092846,Iterative
Baseball Steroids,LKS,0.9772849935468731,0.9772849935468731,0.0,0.0,Static
Baseball Steroids,CI_e_av_skin,0.9772849935468731,0.9772849935468731,0.0,0.0,Static
Baseball Steroids,CI_e_mul_skin,0.9772849935468731,0.9772849935468731,0.0,0.0,Static
Baseball Steroids,CI_e_av_body,0.935891118150886,0.9648715241112285,0.02898040596034246,0.030965574304841505,Static
Baseball Steroids,CI_e_mul_body,0.935891118150886,0.9626657280300364,0.02677460987915037,0.028608680390140983,Static
Baseball Steroids,LLBCe,0.935891118150886,0.668450076264226,-0.26744104188665996,-0.28576085048767674,Iterative
Baseball Steroids,LLBMEe1,0.935891118150886,0.6704212131878445,-0.26546990496304146,-0.2836546899681571,Iterative
Transport,LDC,0.23898027352366547,0.19569546858259282,-0.04328480494107265,-0.18112291990822535,Iterative
Transport,Jaccard,0.40828133862733973,0.4081237789122077,-0.00015755971513203848,-0.0003859096662653291,Iterative
Transport,LKS,0.3067876725278881,0.21937354257263497,-0.0874141299552531,-0.2849336455893835,Iterative
Transport,CI_e_av_skin,0.2902691119934455,0.17518749606100711,-0.1150816159324384,-0.39646524958203966,Iterative
Transport,CI_e_mul_skin,0.29551269931303964,0.16900485283922603,-0.1265078464738136,-0.42809614195227036,Iterative
Transport,CI_e_av_body,0.28009705678452135,0.1634335413121573,-0.11666351547236406,-0.4165110366086899,Iterative
Transport,CI_e_mul_body,0.2725530976239995,0.16304909560723513,-0.10950400201676436,-0.4017712620820423,Iterative
Transport,LLBCe,0.3981218881956261,0.36821075187496055,-0.029911136320665554,-0.07513059996833947,Iterative
Transport,LLBMEe1,0.22505199470599357,0.15955126993130395,-0.06550072477468963,-0.2910470749670952,Iterative
C. elegans Gap Junction,LDC,0.6968552647558901,0.6543121508379889,-0.04254311391790122,-0.061050143508357024,Iterative
C. elegans Gap Junction,Jaccard,0.4427624787466602,0.3829115557444741,-0.059850923002186085,-0.13517614042546633,Iterative
C. elegans Gap Junction,LKS,0.6939526657760505,0.7101461926159826,0.016193526839932026,0.02333520373730783,Static
C. elegans Gap Junction,CI_e_av_skin,0.7054355416565461,0.6446843879038135,-0.060751153752732545,-0.08611864609213343,Iterative
C. elegans Gap Junction,CI_e_mul_skin,0.7039584345397134,0.6377330276900657,-0.06622540684964773,-0.09407573458928654,Iterative
C. elegans Gap Junction,CI_e_av_body,0.6898234454700024,0.6470328819528783,-0.04279056351712407,-0.06203118174385805,Iterative
C. elegans Gap Junction,CI_e_mul_body,0.6954646890940005,0.646296605538013,-0.04916808355598745,-0.07069817393610589,Iterative
C. elegans Gap Junction,LLBCe,0.41085210711683273,0.3979574022346369,-0.012894704882195851,-0.03138527138800586,Iterative
C. elegans Gap Junction,LLBMEe1,0.6204464719455915,0.5225945773621569,-0.09785189458343468,-0.15771206543667082,Iterative
