network,metric,mode,auc,runtime_s,n_points,n_nodes,n_edges
football,KFC_v2,static,0.35064898219731894,0.1232239999808371,614,115,613
football,KFC_v2,iterative,0.2126959358819775,14.054747099988163,614,115,613
