network,metric,mode,auc,runtime_s,n_points,n_nodes,n_edges
crime,KFC_v2,static,0.037599380387326915,7.171912700054236,1378,1263,1377
crime,KFC_v2,iterative,0.015325868771601778,58.44803650001995,1378,1263,1377
